153
100,10,119.51,12.98,112.78,16.62,100,10
130,10,157.68,13.97,133.74,16.12,132.25,15.28
160,10,169.27,-0.41,184.2,10,177.04,15.97
190,10,190.65,3.81,202.85,19.9,190.89,11.22
220,10,234.91,-0.65,230.14,10.53,226,14.13
250,10,255.82,4.75,265.74,10.69,251.41,10.97
280,10,280.89,18.49,280.37,20.6,280,20.6
310,10,326.44,13.66,318.7,14.83,313.49,13.15
340,10,340.56,10.1,348.12,12.16,344.08,16.28
100,41,122.32,43.78,121.04,44.22,100,41
130,41,156.2,36.99,132.02,43.5,130.71,42.66
160,41,182.66,46.28,176.75,46.65,165.59,43.11
190,41,210,41,194.95,43.47,190.22,41.79
220,41,225.88,39.5,240.64,42.27,220.45,43.59
250,41,255.95,29.07,274.26,43.58,250.52,41.76
280,41,281.06,41.85,280.31,43.19,280.01,41.4
310,41,323.41,44.13,327.31,48.26,311.16,41.69
340,41,362.03,36.77,357.53,47.14,347.31,46.85
100,72,109.45,71.17,121.63,74.5,100,72
130,72,156.82,67.64,144.14,70.63,133.79,71.9
160,72,180.71,64.48,185.76,77.73,176.24,78.81
190,72,192.76,71.76,205.63,78.56,200.86,85.44
220,72,230.16,83.97,220.67,75.18,220.22,74.1
250,72,251.2,70.96,261.92,73.71,272.04,80.31
280,72,282.2,61.56,290.02,79.72,281.14,82.89
310,72,326.64,74.86,329.42,79.05,319.22,83.4
340,72,365.92,78.04,353.36,80.86,348.81,80.64
100,103,123.12,98.79,102.64,104.88,100,103
130,103,148.26,92.12,149.54,110.63,130.19,108.5
160,103,172.75,112.45,165.07,117.38,160,116.6
190,103,192.29,102.2,196.18,112.51,192.72,115.93
220,103,235.7,109.36,237.7,111.25,221.16,104.6
250,103,276.14,109.95,255,107.33,250.05,103.7
280,103,296.11,102.15,282.54,117.54,280.2,108.6
310,103,316.68,103.65,315.43,105.05,311.26,104.14
340,103,346.63,103.76,350.29,106.09,340.46,109.6
100,134,107.8,134.14,115.23,140.17,100,134
130,134,144.47,131.37,132.45,145.64,130,142.1
160,134,171.65,131.88,164.69,148.82,164.18,148.85
190,134,195.14,134.41,200.83,141.19,199.3,143.97
220,134,220.97,137.97,221.48,148.08,220.43,146.4
250,134,265.01,127.24,264.86,140.24,258.92,139.13
280,134,300.8,132.54,288.13,143.14,280.7,136.48
310,134,317.61,126.85,321.25,139.83,311.17,135.81
340,134,350.07,136.45,355.19,138.04,361.2,141.7
100,165,105.28,167.3,109.06,169.38,100,165
130,165,133.6,163.74,149,171.65,133.94,177.44
160,165,164.97,167.32,171.02,171.34,170.2,173.83
190,165,197,164.94,202.59,172.77,190.73,175.39
220,165,229.17,174,224.69,174.41,220.4,165.88
250,165,252.46,164.14,251.55,172.36,250.73,169.18
280,165,281.93,164.74,285.9,175.29,281.48,172.06
310,165,311.76,177.57,310.36,175.4,310,173.1
